FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,carbon_mean,carbon_median,carbon_min,carbon_max,carbon_suggested_value,water_mean,water_median,water_min,water_max,water_suggested_value
AGRICULTURAL PROCESSED,VEGETAL YOGURT (soy yogurt),,SOY YOGURT*,1.36,1.36,1.36,1.36,ITEM matching with TYPOLOGY,,,,,
CROPS,LEGUMES,,SOYBEAN,0.6,0.56,0.38,1.01,ITEM,1920,1816,1800,2145,typology
AGRICULTURAL PROCESSED,OIL,,SOYBEAN OIL,2.3,1.79,1.07,4.3,ITEM,4190,4190,4190,4190,ok item
CROPS,VEGETABLES OPENFIELD,GREEN LEAFY VEGETABLES (SUB TYP),SPINACH,0.48,0.34,0.18,0.93,ITEM,292,292,292,292,ok item
FISHING,SHELLFISH,CEPHALOPOD (SUBTYP),SQUID,7.51,6.91,4,11.61,TYPOLOGY,,,,,
ANIMAL HUSBANDRY,CHEESE FRESH,,STRACCHINO,4.92,4.92,4.92,4.92,TYPOLOGY,5600,5600,5600,5600,typology
CROPS,FRUIT OPENFIELD,WILD BERRIES (SUBTYP),STRAWBERRY,0.68,0.61,0.2,1.5,ITEM,275,248,229,347,typology
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),,STRAWBERRY JUICE (I),2.68,2.68,2.68,2.68,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,OIL,,SUNFLOWER OIL,0.99,0.98,0.9,1.12,ITEM,6792,6792,6792,6792,ok item
CROPS,SEEDS,,SUNFLOWER SEED,1.16,1.16,0.91,1.41,TYPOLOGY,3366,3366,3366,3366,ok item
FISHING,FISH,,SWARDFISH,12.84,12.84,11.44,14.24,TYPOLOGY,,,,,
CROPS,VEGETABLES OPENFIELD,ROOTS & BULBS (SUBTYP),SWEDE,0.29,0.29,0.29,0.29,TYPOLOGY,,,,,
CROPS,STARCHY TUBERS,,SWEET POTATO,0.35,0.27,0.24,0.55,TYPOLOGY,383,383,383,383,ok item
CROPS,FRUIT OPENFIELD,CITRUS FRUIT (SUBTYP),TANGERIN,0.38,0.38,0.26,0.51,TYPOLOGY,748,748,748,748,ok item
AGRICULTURAL PROCESSED,DRESSING,,TEMPE',1.1,1.1,1.1,1.1,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,VEGETAL PROTEINS,,TOFU,2.33,2.27,1.07,3.72,ITEM,1725,1725,926,2523,typology
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUBTYP)",TOMATO,0.48,0.45,0.15,2.29,ITEM,69,41,5,214,ok item
AGRICULTURAL PROCESSED,TOMATO SAUCE,,TOMATO & BASIL,1.15,1.14,1.02,1.29,ITEM,148,148,145,150,ok item
CROPS,VEGETABLES HEATED GREENHOUSE,,TOMATO (G),2.89,2.43,1.16,6.12,ITEM,,,,,
AGRICULTURAL PROCESSED,TOMATO SAUCE,,TOMATO ARRABBIATA,1.26,1.24,1.07,1.46,ITEM,155,155,148,162,ok item
AGRICULTURAL PROCESSED,"TOMATO PUREE,PEELED, CHOPPED",,TOMATO CHOPPED,1.41,1.47,1.14,1.56,ITEM,,,,,
AGRICULTURAL PROCESSED,"TOMATO PUREE,PEELED, CHOPPED",,TOMATO PEELED,1.28,1.3,1.22,1.31,TYPOLOGY,267,267,267,267,ok item
AGRICULTURAL PROCESSED,"TOMATO PUREE,PEELED, CHOPPED",,TOMATO PUREE,1.17,1.03,0.96,1.56,ITEM,713,713,713,713,ok item
FISHING,FISH,,TROUT,3.65,4.2,1.37,5.95,ITEM,2986,2188,1482,5289,ok item
FISHING,FISH FROZEN,,TROUT (F),4.38,4.38,4.23,4.52,TYPOLOGY,,,,,
FISHING,FISH,,TUNA,4.68,3.68,1.39,11.44,ITEM,,,,,
FISHING,FISH FROZEN,,TUNA (F),2.66,2.64,1.85,3.52,ITEM,,,,,
FISHING,FISH PROCESSED,,TUNA IN CAN,2,2.1,1.7,2.2,ITEM,,,,,
FISHING,FISH,,TURBOT,14.51,14.51,9.63,19.4,TYPOLOGY,1504,1504,1504,1504,ok item
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,,TURKEY MEAT BONE FREE,5.11,4.08,2.81,8.49,ITEM or TYPOLOGY,4325,4325,4325,4325,
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,,TURKEY MEAT WITH BONE,2.08,2.13,1.58,2.35,ITEM,,,,,
CROPS,VEGETABLES OPENFIELD,ROOTS & BULBS (SUBTYP),TURNIP,0.35,0.35,0.35,0.35,TYPOLOGY,195,195,195,195,ok item
AGRICULTURAL PROCESSED,ICE CREAM,,VANILLA,4.3,4.3,4.2,4.4,TYPOLOGY,126505,126505,126505,126505,
CROPS,NUTS,,WALNUT,1.75,2.06,0.63,3.03,ITEM,9173,9173,9065,9280,
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUBTYP)",WATERMELON,0.52,0.52,0.52,0.52,TYPOLOGY,185,185,136,235,ok item
CROPS,GRAINS,,WHEAT,0.67,0.57,0.18,3.08,ITEM,1795,1639,566,3710,ok item
AGRICULTURAL PROCESSED,GRAIN FLOUR,,WHEAT PLAIN FLOUR,0.61,0.52,0.33,1.18,ITEM,1849,1849,1849,1849,
FISHING,FISH,,WHITING,2.66,2.66,1.54,3.79,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,GRAIN FLOUR,,WHOLE WHEAT FLOUR,0.38,0.36,0.27,0.51,ITEM,,,,,
AGRICULTURAL PROCESSED,CRACKERS,,WHOLEGRAIN CRACKERS**,0.99,0.97,0.49,1.43,ITEM,833,617,389,2107,ok item
AGRICULTURAL PROCESSED,WINE,,WINE RED,1.02,0.87,0.32,2.13,ITEM,601,524,487,869,
AGRICULTURAL PROCESSED,WINE,,WINE WHITE,0.74,0.44,0.44,1.35,TYPOLOGY,601,524,487,869,
AGRICULTURAL PROCESSED,YEAST COMPRESSED*,,YEAST COMPRESSED*,0.82,0.82,0.82,0.82,ITEM matching with TYPOLOGY,51,51,51,51,item matching typology
ANIMAL HUSBANDRY,YOGURT,,YOGURT FLAVOURED**,2.81,2.85,2.16,3.85,ITEM,1659,1659,1618,1700,
ANIMAL HUSBANDRY,YOGURT,,YOGURT LACTOSE FREE,3.16,3.47,2.2,3.5,ITEM or TYPOLOGY,,,,,
ANIMAL HUSBANDRY,YOGURT,,YOGURT WHITE,2.1,1.69,1.17,4.07,ITEM,1605,1540,1186,2070,ok item
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUBTYP)",ZUCCHINI,0.65,0.7,0.09,1.31,ITEM,336,336,336,336,ok item
